model_year,kms_driven,owner,location,mileage,power,price,new_col,CC,brand_name
2017,17000.0,1,hyderabad,35.0,19.0,63500,False,220,Bajaj Avenger Cruise 
2016,50000.0,1,hyderabad,35.0,19.8,115000,False,350,Royal Enfield Classic 
2012,14795.0,1,hyderabad,30.0,28.0,300000,False,250,Hyosung GT
2017,6605.11895752201,1,pondicherry,28.0,34.5,100000,True,400,Bajaj Dominar 
2020,2000.0,1,bangalore,28.79,30.0,197500,False,330,Jawa Perak 
2012,24561.0,3,bangalore,35.0,25.0,63400,False,200,KTM Duke 
2016,19718.0,1,bangalore,65.0,17.0,55000,False,180,Bajaj Pulsar 
2020,6605.11895752201,1,hyderabad,40.0,20.21,120000,True,200,TVS Apache RTR 
2018,1350.0,1,jaipur,25.0,42.9,198000,False,390,KTM Duke 
2014,6605.11895752201,1,bangalore,58.0,13.0,40000,True,150,Yamaha FZ16 
2018,25000.0,1,chennai,35.0,19.8,136900,False,350,Royal Enfield Classic 
2016,26240.0,1,ghaziabad,32.0,24.5,112000,False,410,Royal Enfield Himalayan 
2017,18866.0,1,delhi,40.0,19.8,110000,False,350,Royal Enfield Bullet Electra 
2018,6605.11895752201,1,delhi,65.0,10.0,50000,True,125,Honda CB Shine 
2019,6605.11895752201,1,delhi,30.0,18.0,131000,True,350,Royal Enfield Standard 
2018,25360.826666666664,3,delhi,42.0,23.2,53000,True,200,Bajaj Pulsar NS
2019,12634.0,1,delhi,35.0,19.8,160000,False,350,Royal Enfield Classic 
2015,6605.11895752201,1,delhi,37.0,19.8,121000,True,350,Royal Enfield Standard 
2016,13000.0,1,delhi,37.0,19.8,111000,False,350,Royal Enfield Bullet 
2019,28000.0,1,delhi,40.0,19.8,131500,False,350,Royal Enfield Thunderbird 
2016,6605.11895752201,1,delhi,60.0,14.0,52000,True,150,Honda CB Unicorn 
2018,23350.0,1,delhi,37.0,19.0,115000,False,350,Royal Enfield Electra 
2014,6605.11895752201,1,delhi,65.0,14.85,47000,True,150,Bajaj Pulsar 
2016,9551.0,1,delhi,53.0,19.0,52000,False,220,Bajaj Avenger Street 
2018,23522.0,1,ludhiana,37.0,19.8,190000,False,350,Royal Enfield Bullet 
2015,25000.0,1,delhi,40.0,19.8,67000,False,350,Royal Enfield Thunderbird 
2012,12000.0,1,delhi,55.0,12.0,28000,False,150,Yamaha SZ-RR 
2015,10168.0,1,delhi,45.0,13.0,44000,False,150,Yamaha FZs 
2018,7000.0,1,delhi,35.0,19.8,141500,False,350,Royal Enfield Classic 
2016,12000.0,1,delhi,35.0,19.8,110000,False,350,Royal Enfield Classic 
2020,6605.11895752201,1,delhi,42.0,23.2,118000,True,200,Bajaj Pulsar NS
2016,26683.0,1,delhi,38.0,21.0,65000,False,220,Bajaj Pulsar 
2018,6900.0,1,bangalore,35.0,24.8,148000,False,149.5,UM Renegade Commando Mojave 
2019,15000.0,1,jaunpur,45.0,13.0,48000,False,150,Hero Achiever 
2017,6605.11895752201,1,mumbai,58.0,13.0,47475,True,150,Yamaha FZ S V 2.0 
2011,30202.0,2,mumbai,29.0,26.15,58000,False,250,Honda CBR 
2019,50000.0,1,chittorgarh,55.0,8.9,63000,False,125,Hero Glamour Disc 
2018,6605.11895752201,1,chittorgarh,65.0,15.0,48000,True,150,Bajaj Pulsar 
2019,40000.0,1,chittorgarh,75.0,9.0,60000,False,125,Hero Super Splendor 
2015,20805.0,1,delhi,35.0,19.8,95000,False,350,Royal Enfield Classic 
2019,45000.0,1,chittorgarh,71.14,8.6,46000,False,110,Bajaj Discover 
2016,28200.0,1,bangalore,38.0,21.0,58000,False,220,Bajaj Pulsar 
2011,50000.0,1,thalassery,35.0,19.8,70000,False,350,Royal Enfield Classic 
2016,14000.0,1,hyderabad,53.0,19.0,55000,False,220,Bajaj Avenger Street 
2015,55000.0,1,chittorgarh,38.0,21.0,45000,False,220,Bajaj Pulsar 
2018,30000.0,1,delhi,65.0,17.0,62000,False,180,Bajaj Pulsar 
2018,1650.0,1,bathinda,37.0,19.8,140000,False,350,Royal Enfield Bullet 
2014,45000.0,1,hyderabad,55.0,11.0,30000,False,125,Hero Ignitor 
2019,6605.11895752201,1,gurgaon,65.0,10.0,51000,True,125,Honda CB Shine 
2009,33000.0,1,delhi,40.0,17.0,18000,False,223,Hero Karizma R 
2019,27300.0,1,hyderabad,37.0,19.8,130000,False,350,Royal Enfield Bullet 
2021,5700.0,1,mumbai,35.0,24.6,207500,False,200,KTM RC 
2019,15000.0,2,mumbai,32.0,24.5,181562,False,410,Royal Enfield Himalayan 
2013,21000.0,1,dehradun,25.0,27.2,110000,False,500,Royal Enfield Thunderbird 
2020,9000.0,1,mumbai,35.0,19.1,207500,False,350,Royal Enfield Classic 
2015,35000.0,1,pune,63.0,14.0,54468,False,150,Suzuki Gixxer 
2018,6605.11895752201,1,kukatpally,65.0,10.0,70000,True,125,Honda CB ShineSP 
2017,20864.0,1,delhi,38.0,21.0,55000,False,220,Bajaj Pulsar 
2008,6605.11895752201,1,pune,65.0,14.85,30087,True,150,Bajaj Pulsar 
